,file_name,sample_name,class,file_path
0,Sel Intermediate_0_28886 Obj 10x,28886,Sel Intermediate,C:\Users\alamahmadh\Documents\Pap Smear\samples\28886\crop_samples\Sel Intermediate\Sel Intermediate_0_28886 Obj 10x.png
1,Sel Superficial_1_28886 Obj 10x,28886,Sel Superficial,C:\Users\alamahmadh\Documents\Pap Smear\samples\28886\crop_samples\Sel Superficial\Sel Superficial_1_28886 Obj 10x.png
2,Sel Intermediate_2_28886 Obj 10x,28886,Sel Intermediate,C:\Users\alamahmadh\Documents\Pap Smear\samples\28886\crop_samples\Sel Intermediate\Sel Intermediate_2_28886 Obj 10x.png
3,Sel Superficial_3_28886 Obj 10x,28886,Sel Superficial,C:\Users\alamahmadh\Documents\Pap Smear\samples\28886\crop_samples\Sel Superficial\Sel Superficial_3_28886 Obj 10x.png
8,LSIL_0_28886 Obj 10x_1,28886,LSIL,C:\Users\alamahmadh\Documents\Pap Smear\samples\28886\crop_samples\LSIL\LSIL_0_28886 Obj 10x_1.png
9,LSIL_1_28886 Obj 10x_1,28886,LSIL,C:\Users\alamahmadh\Documents\Pap Smear\samples\28886\crop_samples\LSIL\LSIL_1_28886 Obj 10x_1.png
10,Sel Parabasal_0_28886 Obj 40x,28886,Sel Parabasal,C:\Users\alamahmadh\Documents\Pap Smear\samples\28886\crop_samples\Sel Parabasal\Sel Parabasal_0_28886 Obj 40x.png
11,Sel Parabasal_1_28886 Obj 40x,28886,Sel Parabasal,C:\Users\alamahmadh\Documents\Pap Smear\samples\28886\crop_samples\Sel Parabasal\Sel Parabasal_1_28886 Obj 40x.png
20,Sel Intermediate_10_28886 Obj 40x,28886,Sel Intermediate,C:\Users\alamahmadh\Documents\Pap Smear\samples\28886\crop_samples\Sel Intermediate\Sel Intermediate_10_28886 Obj 40x.png
21,Sel Intermediate_11_28886 Obj 40x,28886,Sel Intermediate,C:\Users\alamahmadh\Documents\Pap Smear\samples\28886\crop_samples\Sel Intermediate\Sel Intermediate_11_28886 Obj 40x.png
22,Sel Parabasal_12_28886 Obj 40x,28886,Sel Parabasal,C:\Users\alamahmadh\Documents\Pap Smear\samples\28886\crop_samples\Sel Parabasal\Sel Parabasal_12_28886 Obj 40x.png
